Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
NWSA,2020-07-17,12.2203,2020-08-10,14.1458,15.7566
NWSA,2020-11-12,15.726,2020-11-25,17.2708,9.8231
KKR,2020-01-10,28.2986,2020-02-06,31.8005,12.3749
KKR,2020-04-16,21.9046,2020-04-30,23.8847,9.0398
KKR,2020-10-12,34.6797,2020-11-02,33.5132,-3.3637
CAH,2020-01-22,47.428,2020-02-04,44.2302,-6.7426
CAH,2020-04-13,42.457,2020-05-13,41.2187,-2.9166
CAH,2020-07-24,49.3874,2020-08-07,45.9608,-6.9381
CAH,2020-10-15,43.2094,2020-10-29,40.2858,-6.7661
AEP,2020-04-21,68.0395,2020-05-12,64.8533,-4.6828
AEP,2020-06-03,72.4117,2020-06-16,67.925,-6.1961
AEP,2020-07-15,70.4888,2020-08-17,68.176,-3.2811
AEP,2020-09-28,67.6892,2020-10-09,75.3855,11.3701
LOW,2020-02-13,112.8772,2020-02-26,102.5005,-9.1929
LOW,2020-04-15,85.3477,2020-04-29,96.5996,13.1836
LOW,2020-10-07,153.8855,2020-11-02,146.862,-4.5641
LOW,2020-12-17,149.8959,2020-12-31,147.1187,-1.8528
DGX,2020-01-21,96.0546,2020-03-09,98.2918,2.3291
DGX,2020-04-21,85.1791,2020-05-04,96.7396,13.5719
DGX,2020-07-10,105.843,2020-07-22,117.5671,11.0769
DGX,2020-09-29,102.9709,2020-10-23,115.7534,12.4138
DGX,2020-12-01,114.4332,2020-12-14,112.1387,-2.0051
CCI,2020-04-09,130.2017,2020-04-30,126.4656,-2.8695
CCI,2020-06-02,138.4593,2020-06-15,133.8451,-3.3325
CCI,2020-07-10,136.9841,2020-07-27,134.54,-1.7842
CCI,2020-10-02,135.7107,2020-10-23,127.5416,-6.0195
CCI,2020-11-17,133.8756,2020-12-11,126.9058,-5.2062
CPRT,2020-04-21,16.5375,2020-05-04,19.5,17.9138
CPRT,2020-07-22,22.39,2020-08-07,24.81,10.8084
CPRT,2020-12-18,30.59,2020-12-31,31.8125,3.9964
PRU,2020-02-14,72.4275,2020-02-25,64.4396,-11.0288
PRU,2020-04-17,43.389,2020-04-30,47.8122,10.1943
PRU,2020-05-29,47.64,2020-06-09,56.0802,17.7166
PRU,2020-07-23,51.2896,2020-09-22,50.6151,-1.3152
PRU,2020-10-15,52.8555,2020-10-29,50.0828,-5.2458
PRU,2020-11-11,58.0115,2020-11-25,63.4708,9.4107
DDOG,2020-01-10,40.16,2020-01-31,46.21,15.0647
DDOG,2020-04-15,38.74,2020-04-28,43.6,12.5452
DDOG,2020-08-03,95.67,2020-08-14,81.24,-15.0831
DDOG,2020-09-18,85.69,2020-10-01,103.51,20.7959
DDOG,2020-12-07,99.16,2020-12-23,107.44,8.3501
FITB,2020-02-18,23.4379,2020-03-02,20.6164,-12.0383
FITB,2020-04-17,13.5433,2020-04-28,15.1314,11.7258
FITB,2020-05-28,16.3937,2020-06-09,19.6106,19.6224
FITB,2020-07-30,16.2695,2020-09-15,18.0708,11.0716
FITB,2020-10-07,19.5245,2020-11-10,22.0435,12.9018
CL,2020-04-13,61.1106,2020-05-12,60.8096,-0.4926
CL,2020-06-01,64.3486,2020-09-16,68.4486,6.3715
CL,2020-10-09,70.994,2020-12-23,75.5558,6.4257
TAP,2020-04-15,39.5957,2020-05-01,34.553,-12.7354
TAP,2020-06-09,37.0654,2020-06-22,33.6918,-9.1018
TAP,2020-07-30,33.239,2020-09-14,31.0817,-6.4904
TAP,2020-10-15,31.5789,2020-10-29,29.6346,-6.1569
IT,2020-01-13,160.93,2020-02-10,149.17,-7.3075
IT,2020-04-17,105.96,2020-04-30,118.81,12.1272
IT,2020-07-22,124.67,2020-09-22,126.71,1.6363
IT,2020-11-05,146.25,2020-12-31,160.19,9.5316
BMY,2020-02-12,54.6185,2020-02-26,50.5751,-7.403
BMY,2020-04-09,48.421,2020-06-01,49.5553,2.3426
BMY,2020-07-09,48.1279,2020-09-09,48.9312,1.6692
BMY,2020-10-09,51.5856,2020-10-29,48.3312,-6.3087
INCY,2020-02-20,82.77,2020-03-04,80.16,-3.1533
INCY,2020-04-07,86.66,2020-04-20,101.19,16.7667
INCY,2020-06-02,100.9,2020-06-15,93.51,-7.3241
INCY,2020-10-12,97.7,2020-10-23,89.69,-8.1986
INCY,2020-12-17,88.28,2020-12-31,86.98,-1.4726
CPAY,2020-01-17,310.04,2020-02-26,284.2,-8.3344
CPAY,2020-04-20,214.13,2020-05-01,232.83,8.733
CPAY,2020-07-23,259.34,2020-08-10,236.4,-8.8455
CPAY,2020-10-12,251.2,2020-10-28,221.62,-11.7755
CPAY,2020-11-13,260.3,2020-12-31,272.83,4.8137
MAS,2020-04-16,35.8664,2020-05-19,41.4358,15.5283
MAS,2020-10-19,51.5299,2020-12-03,48.0159,-6.8194
MAS,2020-12-22,52.2309,2020-12-31,50.6629,-3.002
KHC,2020-04-07,20.9677,2020-04-20,22.9849,9.6205
KHC,2020-07-17,27.9469,2020-09-03,27.0883,-3.0722
KHC,2020-10-15,26.079,2020-10-27,24.7711,-5.0155
KHC,2020-11-13,25.5219,2020-12-15,28.0497,9.9044
COO,2020-04-15,74.6309,2020-05-04,71.7301,-3.8869
COO,2020-07-23,71.1353,2020-08-31,78.5567,10.4328
COO,2020-12-08,86.3929,2020-12-31,90.7857,5.0847
BR,2020-04-14,97.957,2020-05-12,107.9405,10.1917
BR,2020-10-12,131.8009,2020-10-29,127.6154,-3.1756
AXON,2020-01-06,68.75,2020-01-23,78.64,14.3855
AXON,2020-04-07,68.96,2020-04-20,76.78,11.3399
AXON,2020-05-11,84.92,2020-05-22,74.11,-12.7296
AXON,2020-09-03,84.54,2020-10-02,91.55,8.2919
